4,"[149, 4933, 973, 13117, 206, 1726, 12366, 11958, 924, 2124, 3576, 8296, 14632, 3748, 6803, 8323, 3507, 1353, 1637, 1705, 2657, 12177, 14117, 3121, 4081, 6357, 9213, 9365, 4414, 5682, 6438, 12822, 1242, 9846, 2468, 2696, 9996, 10000, 8544, 863, 1611, 13119, 687, 5175, 10747, 5869, 2653, 12581, 1426, 13338, 14198, 3502, 1640, 11708, 6087, 8307, 13351, 371, 6827, 14515, 4433, 8977, 10365, 10987, 9795, 2854, 7232, 12823, 2942]"
5,"[6393, 6438, 834, 13209, 11961, 1165, 2895, 5020, 4668, 13500, 156, 2880, 4864, 12470, 7853, 6888, 198, 7578, 8926, 10558, 390, 1574, 7550, 11241, 14925, 1385, 14685, 7137, 9693, 12267, 6675, 7159, 612, 4716, 8136, 6804, 2576, 630, 13112, 5862, 2854, 13470, 4914, 5582, 8466, 15054, 1529, 10201, 13381, 1755, 8427, 8363, 6651, 13007, 1563, 640, 6416, 10068, 2370, 6738, 9454, 10086, 1426, 8242, 11266, 13298, 10610, 921, 573, 2145, 11313, 349, 7817, 11291, 12395, 3743, 12231, 419, 6331, 7287, 9063, 11919, 1063, 2811, 14967, 2048, 11164, 2084, 2808, 4232, 14392, 14632, 6941, 2594, 6418, 13402, 658, 1318, 6442, 15174, 309, 1937, 1993, 7113, 7545, 8193, 10777, 11553, 12833, 13717, 13141, 8295, 10119, 1083, 1023, 1027, 3315, 9971, 10815, 12299, 15343, 2995, 3123, 12704, 12860, 756, 1624, 2524, 3532, 6028, 11160, 11392, 12752, 14828, 2106, 486, 4570, 9774, 2213, 1113, 3637, 4125, 4529, 10565, 8243, 9767, 2159, 6291, 1316, 1620, 3352, 4576, 6176, 10128, 12908, 14204, 1786, 11898, 1654, 2490, 5166, 8922, 10898, 10990, 11090, 11218, 11450, 12434, 12582, 1989, 14705, 381, 1137, 4201, 4805, 6809, 10105, 12957, 15197, 907, 11659, 13631, 13739, 1283, 1603, 3451, 8519, 15315, 52, 10636, 12784, 1320, 2564, 6904, 9472, 10088, 11716]"
8,"[12015, 4100, 7393, 2953, 6705, 12757, 14737, 4416, 423, 2747, 8471, 14135, 67, 995, 9849, 14549, 14681, 10677, 6313, 10086, 4794, 3502, 14418, 9708, 5704, 6540, 12788, 599, 3287, 15071, 7619, 3637, 9297, 13169, 12745, 14461, 15069, 13182, 1482, 12682, 13630, 1052, 8856, 1852, 12752, 6207, 3545, 6345, 9886, 1732, 10228, 11868, 3635, 3997, 5869, 10810, 5249, 8017, 7665, 13298, 11791, 3171, 4042, 4960]"
9,"[2286, 6510, 9590, 14110, 721, 8989, 1705, 5793, 8625, 9949, 11567, 927, 6175, 11087, 14212, 5260, 14736, 9342, 2582, 13502, 13826, 13021, 10985, 4583, 467, 10132, 10366, 13298, 686, 834, 842, 5974, 6438, 7802, 9246, 9394, 10966, 477, 14981, 937, 2113, 3997, 7545, 7853, 12257, 15161, 3667, 303, 3051, 5327, 8180, 460, 2412, 3708, 8968, 11188, 11392, 11484, 13912, 7886, 14014, 14614, 4529, 547, 1755, 6199, 7287, 7447, 8938, 1753, 11801, 4764, 11718, 1937, 4353, 4746, 13182, 10883, 7967, 6072, 10344, 13898, 7621, 5900, 10400]"
13,"[5782, 14014, 2301, 10297, 6717, 7287, 9647, 3216, 3408, 3518, 8518, 11730, 11890, 7446, 401, 5869, 11581, 8917, 4011, 8203, 8939, 12963, 11475, 3020, 3748, 11996, 13868, 2340, 4620, 6556, 9884, 482, 3710, 1082, 8762, 3941, 7549, 2735, 4639, 6827, 4111, 6351, 6164, 10128, 354, 1178, 1358, 4829, 10749, 12903, 2492, 12648, 9680, 11898, 14118, 12236]"
18,"[3901, 10294, 6478, 13870, 13338, 13166, 12352, 6651, 5793, 1565, 5345, 5668, 3375, 9078, 10616, 10794, 1340, 12752, 1793, 7893, 11337, 7918, 13573, 13490, 5873, 3561, 662, 8357, 416, 14542, 12919, 40, 8575, 7219, 2696, 10558, 12581, 8625, 8905, 226, 520, 6438, 8907, 7684, 9052, 5068, 4026, 4922, 3822, 6385, 5641, 8330, 4574, 12444, 8634, 6827, 2732, 8564, 13757, 5635, 547, 7067, 6972, 11188, 2946, 6166, 6258, 2105, 12057, 2849, 14547, 227, 2128, 10228, 2070, 4250, 5869, 12692, 13716, 8406, 3266, 9366, 14266, 15245, 2107, 4499, 4919, 12099, 7020, 13730, 14914, 1385, 14073, 855, 5116, 1721, 995, 795, 7300, 2392, 11378, 14226, 7045, 2837, 842, 1853, 3118, 10181, 5775, 12859, 1522, 13978, 3761, 2854, 6675, 10307, 1755, 4736, 5610, 2211, 1212, 5289, 8009, 8629, 14641, 9979, 10432, 13248, 14549, 8092, 7906, 6912, 8281, 3346, 2556, 7061, 12194, 179, 15207, 6179, 6371, 8955, 10011, 2359, 9195, 9555, 12575, 1675, 3179, 3367, 3975, 4067, 4107, 5711, 6391, 6731, 13803, 1659, 2679, 14247, 5044, 5996, 7336, 10064, 8892, 11344, 152, 7976, 6148, 14404, 2944, 3040, 12116, 184, 11204, 12948, 12168, 402, 7154, 13862, 770, 12342, 13606, 4178, 11862, 206, 4182, 14198, 4130, 8866, 9334, 4717, 8053, 12301, 14117, 15325, 12273, 14833, 11121, 10749, 477, 8637, 4957, 797, 6239, 14655, 4195, 4591, 11927, 2903, 12695, 135, 1299, 3491, 3635, 5899, 6163, 8387, 1975, 8939, 14087, 3767, 4615, 7023, 7147, 10547, 11511, 9407, 3003, 5495, 6471, 10271, 1055, 3911, 9635, 14735, 15295, 15351, 6855, 8187, 9935, 10531, 13915, 14627, 8651, 1219, 9303, 864, 3200, 6140, 9356, 10068, 5292, 13212, 3448, 8340, 1236, 13416, 28, 1632, 3952, 11412, 14424, 14644, 11632, 7216, 14208, 15364, 1420, 5892, 8960, 296, 644, 4348, 5724, 14248, 15336, 9060, 11528, 13376, 648, 10652, 11592, 13500, 8040, 9996, 528, 6396, 10740, 12068, 12712, 8136, 12416, 14014, 10158, 10810, 2862, 3094, 11930, 13386, 254, 1218, 2166, 3034, 4882, 5018, 6570, 6722, 6830, 8398, 5950, 2682, 12918, 12702, 9014, 12822, 14410, 14958, 3018, 9646, 14802, 5718, 7314, 2754, 3422, 3986, 3114, 3190, 4422, 7574, 9122, 10142, 454, 1338, 3474, 4154, 6054, 6390, 7350, 9246, 14790, 15210, 1517, 11361, 5197, 8149, 11617, 1057, 12721, 6337, 14057, 2057, 4177, 4813, 5321, 11481, 11501, 3413, 10797, 765, 12777, 13469, 13697, 11357, 2477, 10397, 11893, 2085, 5293, 6333, 6365, 9833, 10705, 10997, 6985, 7085, 11771, 1775, 5171, 6903, 8963, 5179, 7191, 6671, 6931, 9583, 14155, 15079, 871, 575, 2251, 3563, 6019, 10523, 2263, 847, 7435, 11059, 5759, 12723, 3631, 9795, 11283, 3172, 9104, 252, 1972, 7000, 14872, 3780, 4064, 6592, 8532, 10344, 14320, 8228, 9860, 12644, 1152, 3308, 5260, 10932, 13492, 15024, 5336, 13204, 14512, 14632, 15368, 5540, 8096, 9440, 9328, 3226, 5134, 14142, 8090, 6066, 50, 6038, 7738, 234, 9278, 12162, 1318, 1710, 9974, 1438, 13970, 4386, 6062, 8218, 6106, 6246, 7246, 14110, 6446, 9726, 2145, 7913, 8293, 13005, 13429, 4641, 2325, 13289, 10109, 7393, 7873, 13761, 14905, 4109, 8373, 3733, 6469, 5497, 9333, 10365, 12833, 4409, 14065, 425, 3225, 8585, 9349, 13417, 5801, 7885, 2857, 13487, 4135, 7083, 12523, 11483, 6355, 4639, 9627, 12359, 4867, 9331, 1116, 7272, 6660, 6580, 1296, 8528, 10552, 10368, 3888, 424, 9108, 11436, 2228, 7588, 10560, 11396, 5862, 1602, 14342, 15074, 4642, 7018, 11718, 12718, 354, 598, 10950, 526, 4510, 11725, 141, 4613, 10409, 10901, 1, 10913, 9361, 11041, 6093, 8541, 11377, 12741, 14729, 14475, 5707, 6803, 14891, 539, 12219, 7879, 10911, 14163, 4403, 3823, 10147, 13288, 12140, 11660, 13488, 1028, 11068, 11744, 15104, 4776, 6264, 6454, 2766, 9018, 2134, 11069, 3341, 10729, 10325, 9913, 221, 4261, 677, 11453, 8727, 14159, 13391, 13084, 9756, 1780, 4492, 13062, 8458, 5590, 9390, 14106, 12021, 8441, 4899, 1935, 5035, 11383, 7079, 11252, 10814, 4218, 12050, 8886, 8906, 1594, 6037, 2901, 1951, 4911, 299, 4780, 10000, 9588, 2014, 11446, 3577, 9917, 3645, 4793, 3151, 2071, 4824, 6794, 7994, 7218, 9802, 4721, 5617, 6881, 12725]"
19,"[3748, 4386, 14572, 406, 15280, 4244, 7020, 7936, 3676, 4464, 7536, 8720, 11724, 11868, 9012, 14208, 14276, 12995, 14235, 111, 2083, 2247, 3499, 6087, 7611, 8963, 11755, 12259, 12723, 12991, 13927, 14107, 15351, 13511, 1791, 2823, 7855, 5141, 5325, 15261, 2277, 12369, 2001, 3701, 6621, 7513, 8013, 9433, 13241, 14737, 15265, 5349, 11961, 2145, 8557, 6918, 9090, 11050, 11810, 1002, 4042, 1078, 1430, 4194, 6738, 11422, 12582, 13598, 14206, 15174, 13298, 11634, 14464, 8512, 5360, 8660, 11464, 14632, 4716, 11524, 2932, 3524, 5108, 6400, 9548, 2212, 2684, 9648, 12568, 13500, 8335, 3055, 863, 9279, 14587, 14595, 3271, 4111, 5859, 10095, 12643, 12395, 5371, 5759, 6357, 5913, 9009, 9037, 3361, 3405, 4461, 7705, 7965, 9297, 10681, 10705, 12293, 15361, 5869, 6441, 4714, 8470, 298, 6002, 14118, 842, 7282, 13810, 15114, 6478, 11966, 2548, 8228, 9464, 4668, 8456, 14484, 14736, 10584, 10756, 12323, 13043, 12759, 15175, 3507, 7191, 15327, 5151, 5899, 9181, 14369, 9849, 12833, 14153, 2701, 7445, 8053, 11041, 11917, 5829, 9325, 14541, 11282, 13446, 7550, 5070, 9346, 2594, 7910, 1590, 3894, 15252, 3708, 15008, 10640, 743, 14451, 7179, 11375, 8625, 4273, 1973, 3433, 3997, 5769, 13141, 3810, 13830, 14796, 6268, 6888, 15198, 1710, 10883, 2631, 12822, 7292, 5250, 7566, 10310, 1127, 1416, 11520, 3920, 8823]"
23,"[4636, 8563, 8827, 4914, 10810, 9357, 5564, 7100, 10292, 14788, 8135, 11661, 8970, 6804, 14580, 9899, 8242, 9222, 14342, 1236, 11024, 4039, 4579, 12699, 4085, 2382, 3894, 5490, 13470, 13606, 2068, 2456, 7116, 10584, 11436, 12356, 4979, 8419, 10415, 10483, 11363, 12907, 10153, 15313, 2562, 9346, 13686, 13256, 3315, 13295, 413, 1165, 5417, 6301, 8625, 842, 2470, 4042, 8866, 9074, 12822, 4872, 10344, 12220, 13000, 13716, 7975, 3017, 14737, 4386, 7134, 12582, 1136, 14412, 14847, 3901, 6249, 1674]"
26,"[10947, 11363, 1608, 12068, 1814, 3306, 12946, 13210, 14014, 3153, 4797, 10205, 11109, 1211, 4791, 12015, 12267, 12927, 152, 7544, 8188, 10712, 12380, 1518, 2874, 3406, 4042, 5298, 5650, 6498, 8482, 11358, 11602, 11718, 15070, 10977, 15197, 2823, 5899, 7855, 10343, 11327, 2684, 4188, 5840, 10216, 10824, 12972, 14732, 218, 4182, 5942, 8450, 13762, 293, 1517, 8745, 9213, 11988, 14796, 9432, 8645, 9719, 1600, 7662, 9762]"
29,"[13950, 4453, 12745, 3151, 7608, 1978, 3507, 8963, 6436, 8784, 3806, 11065, 6843, 13983, 3828, 1400, 1522, 10469]"
